riskFrequency,pvalueDescription,pvalueMantissa,pvalueExponent,multiSnpHaplotype,snpInteraction,snpType,standardError,range,description,orPerCopyNum,betaNum,betaUnit,betaDirection,loci,lastMappingDate,lastUpdateDate,pvalue,associationId,haplotypeSnpCount,description,strongestRiskAlleles,authorReportedGenes,riskAlleleName,riskFrequency,genomeWide,limitedList
NR,(Iranian),9,-91,False,False,known,,[22.27–43.38],,31.08,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs117486637-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'NR', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-18T00:30:09.000+0000,2024-02-18T00:30:09.000+0000,9.000000000000001e-91,41552040,,Single variant,"[{'riskAlleleName': 'rs117486637-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'NR', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs117486637-?,NR,False,False
NR,,9,-6,False,False,known,,[1.35-1.35],,1.3513513,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'chr18:14723700-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ANKRD30B', 'entrezGeneIds': [{'entrezGeneId': '374860'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000180777'}]}]}",2024-02-18T00:29:06.000+0000,2024-02-18T00:29:06.000+0000,9e-06,41551950,,Single variant,"[{'riskAlleleName': 'chr18:14723700-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ANKRD30B', 'entrezGeneIds': [{'entrezGeneId': '374860'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000180777'}]}]",chr18:14723700-?,NR,False,False
NR,,6,-6,False,False,known,,[1.52-1.52],,1.5151515,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7874251-G', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'PCSK5', 'entrezGeneIds': [{'entrezGeneId': '5125'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000099139'}]}]}",2024-02-18T00:29:01.000+0000,2024-02-18T00:29:01.000+0000,6e-06,41551938,,Single variant,"[{'riskAlleleName': 'rs7874251-G', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'PCSK5', 'entrezGeneIds': [{'entrezGeneId': '5125'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000099139'}]}]",rs7874251-G,NR,False,False
NR,,6,-6,False,False,known,,[2.08-2.08],,2.0833335,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10000518-G', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'HS3ST1', 'entrezGeneIds': [{'entrezGeneId': '9957'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000002587'}]}]}",2024-02-18T00:29:29.000+0000,2024-02-18T00:29:29.000+0000,6e-06,41551920,,Single variant,"[{'riskAlleleName': 'rs10000518-G', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'HS3ST1', 'entrezGeneIds': [{'entrezGeneId': '9957'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000002587'}]}]",rs10000518-G,NR,False,False
NR,,1,-13,False,False,known,,[1.72-1.72],,1.724138,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs148783236-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'USP8', 'entrezGeneIds': [{'entrezGeneId': '9101'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000138592'}]}]}",2024-02-18T00:29:30.000+0000,2024-02-18T00:29:30.000+0000,1e-13,41551926,,Single variant,"[{'riskAlleleName': 'rs148783236-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'USP8', 'entrezGeneIds': [{'entrezGeneId': '9101'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000138592'}]}]",rs148783236-A,NR,False,False
NR,,8,-8,False,False,known,,[1.54-1.54],,1.5384616,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1013210-G', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ADAM28', 'entrezGeneIds': [{'entrezGeneId': '10863'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000042980'}]}]}",2024-02-18T00:28:59.000+0000,2024-02-18T00:28:59.000+0000,8e-08,41551932,,Single variant,"[{'riskAlleleName': 'rs1013210-G', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ADAM28', 'entrezGeneIds': [{'entrezGeneId': '10863'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000042980'}]}]",rs1013210-G,NR,False,False
NR,,7,-6,False,False,known,,[1.35-1.35],,1.3513513,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs34939008-G', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'GBA3', 'entrezGeneIds': [{'entrezGeneId': '57733'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000249948'}]}]}",2024-02-18T00:29:05.000+0000,2024-02-18T00:29:05.000+0000,7e-06,41551944,,Single variant,"[{'riskAlleleName': 'rs34939008-G', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'GBA3', 'entrezGeneIds': [{'entrezGeneId': '57733'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000249948'}]}]",rs34939008-G,NR,False,False
NR,,5,-7,False,False,known,,[1.32-1.32],,1.3157895,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs6502398-C', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-18T00:29:07.000+0000,2024-02-18T00:29:07.000+0000,5e-07,41551958,,Single variant,"[{'riskAlleleName': 'rs6502398-C', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs6502398-C,NR,False,False
NR,,1,-6,False,False,known,,[1.15–1.56],,1.34,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7217335-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'NOS2', 'entrezGeneIds': [{'entrezGeneId': '4843'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000007171'}]}]}",2024-02-18T00:29:09.000+0000,2024-02-18T00:29:09.000+0000,1e-06,41551965,,Single variant,"[{'riskAlleleName': 'rs7217335-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'NOS2', 'entrezGeneIds': [{'entrezGeneId': '4843'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000007171'}]}]",rs7217335-A,NR,False,False
NR,,7,-6,False,False,known,,[1.19–1.55],,1.35,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs8036083-G', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'CHSY1', 'entrezGeneIds': [{'entrezGeneId': '22856'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000131873'}]}]}",2024-02-18T00:29:12.000+0000,2024-02-18T00:29:12.000+0000,7e-06,41551970,,Single variant,"[{'riskAlleleName': 'rs8036083-G', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'CHSY1', 'entrezGeneIds': [{'entrezGeneId': '22856'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000131873'}]}]",rs8036083-G,NR,False,False
NR,,7,-9,False,False,known,,[1.19–1.56],,1.36,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs13001372-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-18T00:29:15.000+0000,2024-02-18T00:29:15.000+0000,7.000000000000001e-09,41551976,,Single variant,"[{'riskAlleleName': 'rs13001372-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs13001372-A,NR,False,False
NR,,6,-6,False,False,known,,[1.20–1.57],,1.37,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4876208-C', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'MYOM2', 'entrezGeneIds': [{'entrezGeneId': '9172'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000036448'}]}]}",2024-02-18T00:29:17.000+0000,2024-02-18T00:29:17.000+0000,6e-06,41551982,,Single variant,"[{'riskAlleleName': 'rs4876208-C', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'MYOM2', 'entrezGeneIds': [{'entrezGeneId': '9172'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000036448'}]}]",rs4876208-C,NR,False,False
NR,,1,-9,False,False,known,,[1.22–1.59],,1.39,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs27529-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ERAP1', 'entrezGeneIds': [{'entrezGeneId': '51752'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164307'}]}]}",2024-02-18T00:29:19.000+0000,2024-02-18T00:29:19.000+0000,1e-09,41551987,,Single variant,"[{'riskAlleleName': 'rs27529-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ERAP1', 'entrezGeneIds': [{'entrezGeneId': '51752'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164307'}]}]",rs27529-A,NR,False,False
NR,,1,-6,False,False,known,,[1.24–1.67],,1.44,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10280089-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'AMPH', 'entrezGeneIds': [{'entrezGeneId': '273'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000078053'}]}]}",2024-02-18T00:29:21.000+0000,2024-02-18T00:29:21.000+0000,1e-06,41551992,,Single variant,"[{'riskAlleleName': 'rs10280089-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'AMPH', 'entrezGeneIds': [{'entrezGeneId': '273'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000078053'}]}]",rs10280089-A,NR,False,False
NR,,8,-6,False,False,known,,[1.23–1.69],,1.44,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs235316-T', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'PTTG1IP', 'entrezGeneIds': [{'entrezGeneId': '754'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000183255'}]}]}",2024-02-18T00:29:23.000+0000,2024-02-18T00:29:23.000+0000,8e-06,41551997,,Single variant,"[{'riskAlleleName': 'rs235316-T', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'PTTG1IP', 'entrezGeneIds': [{'entrezGeneId': '754'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000183255'}]}]",rs235316-T,NR,False,False
NR,,5,-6,False,False,known,,[1.26–1.77],,1.49,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2031610-C', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'FAS', 'entrezGeneIds': [{'entrezGeneId': '355'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000026103'}]}]}",2024-02-18T00:29:26.000+0000,2024-02-18T00:29:26.000+0000,4.9999999999999996e-06,41552002,,Single variant,"[{'riskAlleleName': 'rs2031610-C', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'FAS', 'entrezGeneIds': [{'entrezGeneId': '355'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000026103'}]}]",rs2031610-C,NR,False,False
NR,,4,-6,False,False,known,,[1.32–1.99],,1.62,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7298011-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'RASSF8', 'entrezGeneIds': [{'entrezGeneId': '11228'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000123094'}]}]}",2024-02-18T00:29:28.000+0000,2024-02-18T00:29:28.000+0000,4e-06,41552007,,Single variant,"[{'riskAlleleName': 'rs7298011-A', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'RASSF8', 'entrezGeneIds': [{'entrezGeneId': '11228'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000123094'}]}]",rs7298011-A,NR,False,False
NR,,2,-12,False,False,known,,[2.94–7.68],,4.76,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs61752717-C', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'MEFV', 'entrezGeneIds': [{'entrezGeneId': '4210'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000103313'}]}]}",2024-02-18T00:29:31.000+0000,2024-02-18T00:29:31.000+0000,2e-12,41552012,,Single variant,"[{'riskAlleleName': 'rs61752717-C', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'MEFV', 'entrezGeneIds': [{'entrezGeneId': '4210'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000103313'}]}]",rs61752717-C,NR,False,False
0.28,,1,-8,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4246905-T', 'riskFrequency': '0.28', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'TNFSF15', 'entrezGeneIds': [{'entrezGeneId': '9966'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000181634'}]}]}",2024-02-16T23:24:27.000+0000,2024-02-16T23:24:27.000+0000,1e-08,12827461,,Single variant,"[{'riskAlleleName': 'rs4246905-T', 'riskFrequency': '0.28', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'TNFSF15', 'entrezGeneIds': [{'entrezGeneId': '9966'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000181634'}]}]",rs4246905-T,0.28,False,False
0.4,,3,-8,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11145763-C', 'riskFrequency': '0.4', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'CARD9', 'entrezGeneIds': [{'entrezGeneId': '64170'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000187796'}]}]}",2024-02-16T23:24:30.000+0000,2024-02-16T23:24:30.000+0000,3.0000000000000004e-08,12827462,,Single variant,"[{'riskAlleleName': 'rs11145763-C', 'riskFrequency': '0.4', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'CARD9', 'entrezGeneIds': [{'entrezGeneId': '64170'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000187796'}]}]",rs11145763-C,0.4,False,False
0.29,,9,-8,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs36051895-T', 'riskFrequency': '0.29', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'JAK2', 'entrezGeneIds': [{'entrezGeneId': '3717'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000096968'}]}]}",2024-02-16T23:24:24.000+0000,2024-02-16T23:24:24.000+0000,9e-08,12827460,,Single variant,"[{'riskAlleleName': 'rs36051895-T', 'riskFrequency': '0.29', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'JAK2', 'entrezGeneIds': [{'entrezGeneId': '3717'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000096968'}]}]",rs36051895-T,0.29,False,False
0.41,,6,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs706778-T', 'riskFrequency': '0.41', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IL2RA', 'entrezGeneIds': [{'entrezGeneId': '3559'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000134460'}]}]}",2024-02-16T23:24:33.000+0000,2024-02-16T23:24:33.000+0000,6.000000000000001e-09,12827463,,Single variant,"[{'riskAlleleName': 'rs706778-T', 'riskFrequency': '0.41', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IL2RA', 'entrezGeneIds': [{'entrezGeneId': '3559'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000134460'}]}]",rs706778-T,0.41,False,False
0.39,,8,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10822050-C', 'riskFrequency': '0.39', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ZNF365', 'entrezGeneIds': [{'entrezGeneId': '22891'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000138311'}]}]}",2024-02-16T23:24:35.000+0000,2024-02-16T23:24:35.000+0000,8e-11,12827464,,Single variant,"[{'riskAlleleName': 'rs10822050-C', 'riskFrequency': '0.39', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ZNF365', 'entrezGeneIds': [{'entrezGeneId': '22891'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000138311'}]}]",rs10822050-C,0.39,False,False
0.29,,1,-8,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1250563-C', 'riskFrequency': '0.29', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ZMIZ1', 'entrezGeneIds': [{'entrezGeneId': '57178'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000108175'}]}]}",2024-02-16T23:24:37.000+0000,2024-02-16T23:24:37.000+0000,1e-08,12827465,,Single variant,"[{'riskAlleleName': 'rs1250563-C', 'riskFrequency': '0.29', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ZMIZ1', 'entrezGeneIds': [{'entrezGeneId': '57178'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000108175'}]}]",rs1250563-C,0.29,False,False
0.46,,9,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1332099-T', 'riskFrequency': '0.46', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'NKX2-3', 'entrezGeneIds': [{'entrezGeneId': '159296'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000119919'}]}]}",2024-02-16T23:24:39.000+0000,2024-02-16T23:24:39.000+0000,9e-11,12827466,,Single variant,"[{'riskAlleleName': 'rs1332099-T', 'riskFrequency': '0.46', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'NKX2-3', 'entrezGeneIds': [{'entrezGeneId': '159296'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000119919'}]}]",rs1332099-T,0.46,False,False
0.2,,8,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs17885785-T', 'riskFrequency': '0.2', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'INS', 'entrezGeneIds': [{'entrezGeneId': '3630'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000254647'}]}]}",2024-02-16T23:24:42.000+0000,2024-02-16T23:24:42.000+0000,8e-11,12827467,,Single variant,"[{'riskAlleleName': 'rs17885785-T', 'riskFrequency': '0.2', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'INS', 'entrezGeneIds': [{'entrezGeneId': '3630'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000254647'}]}]",rs17885785-T,0.2,False,False
0.02,,3,-10,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs17466626-G', 'riskFrequency': '0.02', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'LRRK2', 'entrezGeneIds': [{'entrezGeneId': '120892'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000188906'}]}]}",2024-02-16T23:24:45.000+0000,2024-02-16T23:24:45.000+0000,3e-10,12827468,,Single variant,"[{'riskAlleleName': 'rs17466626-G', 'riskFrequency': '0.02', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'LRRK2', 'entrezGeneIds': [{'entrezGeneId': '120892'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000188906'}]}]",rs17466626-G,0.02,False,False
0.31,,4,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1689510-C', 'riskFrequency': '0.31', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'SUOX', 'entrezGeneIds': [{'entrezGeneId': '6821'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000139531'}]}]}",2024-02-16T23:24:48.000+0000,2024-02-16T23:24:48.000+0000,4e-09,12827469,,Single variant,"[{'riskAlleleName': 'rs1689510-C', 'riskFrequency': '0.31', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'SUOX', 'entrezGeneIds': [{'entrezGeneId': '6821'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000139531'}]}]",rs1689510-C,0.31,False,False
0.21,,8,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs72743477-G', 'riskFrequency': '0.21', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'SMAD3', 'entrezGeneIds': [{'entrezGeneId': '4088'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000166949'}]}]}",2024-02-16T23:24:49.000+0000,2024-02-16T23:24:49.000+0000,8e-11,12827470,,Single variant,"[{'riskAlleleName': 'rs72743477-G', 'riskFrequency': '0.21', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'SMAD3', 'entrezGeneIds': [{'entrezGeneId': '4088'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000166949'}]}]",rs72743477-G,0.21,False,False
0.39,,4,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs12598357-G', 'riskFrequency': '0.39', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'SBK1', 'entrezGeneIds': [{'entrezGeneId': '388228'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000188322'}]}]}",2024-02-16T23:24:51.000+0000,2024-02-16T23:24:51.000+0000,4e-09,12827471,,Single variant,"[{'riskAlleleName': 'rs12598357-G', 'riskFrequency': '0.39', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'SBK1', 'entrezGeneIds': [{'entrezGeneId': '388228'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000188322'}]}]",rs12598357-G,0.39,False,False
0.38,,6,-7,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs12928404-C', 'riskFrequency': '0.38', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ATXN2L', 'entrezGeneIds': [{'entrezGeneId': '11273'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000168488'}]}]}",2024-02-16T23:24:54.000+0000,2024-02-16T23:24:54.000+0000,6e-07,12827472,,Single variant,"[{'riskAlleleName': 'rs12928404-C', 'riskFrequency': '0.38', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ATXN2L', 'entrezGeneIds': [{'entrezGeneId': '11273'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000168488'}]}]",rs12928404-C,0.38,False,False
0.02,,8,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs117372389-T', 'riskFrequency': '0.02', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'NOD2', 'entrezGeneIds': [{'entrezGeneId': '64127'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000167207'}]}]}",2024-02-16T23:24:57.000+0000,2024-02-16T23:24:57.000+0000,8e-11,12827473,,Single variant,"[{'riskAlleleName': 'rs117372389-T', 'riskFrequency': '0.02', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'NOD2', 'entrezGeneIds': [{'entrezGeneId': '64127'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000167207'}]}]",rs117372389-T,0.02,False,False
0.45,,3,-7,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs12232497-C', 'riskFrequency': '0.45', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IKZF3', 'entrezGeneIds': [{'entrezGeneId': '22806'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000161405'}]}]}",2024-02-16T23:24:59.000+0000,2024-02-16T23:24:59.000+0000,3e-07,12827474,,Single variant,"[{'riskAlleleName': 'rs12232497-C', 'riskFrequency': '0.45', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IKZF3', 'entrezGeneIds': [{'entrezGeneId': '22806'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000161405'}]}]",rs12232497-C,0.45,False,False
